method_chain,accuracy,f1_macro,precision_macro,recall_macro
Lemmatize.Tfidf.Xgboost,0.6,0.5877344744349353,0.587076923076923,0.5919372294372295
Lemmatize.Tfidf.LabelProp,0.22,0.07213114754098361,0.044,0.2
Lemmatize.Tfidf.BartTag,0.33,0.25822715572715577,0.3023055375996552,0.27245670995670995
Lemmatize.Tfidf.SimpleNNClassifier,0.86,0.8485048802129548,0.8563030303030302,0.8526515151515153
Lemmatize.BagOfWords.Xgboost,0.59,0.576693910674434,0.578423645320197,0.5794372294372294
Lemmatize.BagOfWords.LabelProp,0.34,0.322119992683373,0.3713926499032882,0.3282467532467533
Lemmatize.BagOfWords.BartTag,0.33,0.25822715572715577,0.3023055375996552,0.27245670995670995
Lemmatize.BagOfWords.SimpleNNClassifier,0.78,0.7730718842560947,0.79752886002886,0.7834415584415584
Lemmatize.FastText.Xgboost,0.53,0.5179046376050984,0.5180196078431372,0.5236471861471861
Lemmatize.FastText.LabelProp,0.41,0.384162714478504,0.3833791208791209,0.41926406926406923
Lemmatize.FastText.BartTag,0.33,0.25822715572715577,0.3023055375996552,0.27245670995670995
Lemmatize.FastText.SimpleNNClassifier,0.14,0.04912280701754386,0.028000000000000004,0.2
Lemmatize.SentenceEmbedding.Xgboost,0.77,0.775996641199112,0.7812836438923394,0.7735930735930736
Lemmatize.SentenceEmbedding.LabelProp,0.84,0.8263897751515037,0.8336086956521738,0.8274891774891774
Lemmatize.SentenceEmbedding.BartTag,0.33,0.25822715572715577,0.3023055375996552,0.27245670995670995
Lemmatize.SentenceEmbedding.SimpleNNClassifier,0.82,0.8104348747285343,0.8127873303167421,0.8152597402597402
PosRemoval.Tfidf.Xgboost,0.62,0.6100915347797227,0.6166959706959707,0.6067099567099568
PosRemoval.Tfidf.LabelProp,0.23,0.08872727272727274,0.24444444444444446,0.20833333333333334
PosRemoval.Tfidf.BartTag,0.42,0.3264127298654153,0.5064845782237086,0.349251443001443
PosRemoval.Tfidf.SimpleNNClassifier,0.89,0.8794907713316593,0.8860662525879917,0.8893939393939394
PosRemoval.BagOfWords.Xgboost,0.67,0.6578109507096407,0.6636176142697882,0.6548160173160172
PosRemoval.BagOfWords.LabelProp,0.32,0.3010644257703081,0.35916298261125845,0.3056277056277056
PosRemoval.BagOfWords.BartTag,0.42,0.3264127298654153,0.5064845782237086,0.349251443001443
PosRemoval.BagOfWords.SimpleNNClassifier,0.82,0.824350793580748,0.8260246631070428,0.8303030303030303
PosRemoval.FastText.Xgboost,0.48,0.4540048448283742,0.4623188405797102,0.4625
PosRemoval.FastText.LabelProp,0.41,0.39908065175095525,0.3943356643356643,0.41228354978354986
PosRemoval.FastText.BartTag,0.42,0.3264127298654153,0.5064845782237086,0.349251443001443
PosRemoval.FastText.SimpleNNClassifier,0.14,0.04912280701754386,0.028000000000000004,0.2
PosRemoval.SentenceEmbedding.Xgboost,0.72,0.7094619147449336,0.722274468826193,0.7153679653679654
PosRemoval.SentenceEmbedding.LabelProp,0.82,0.8015472864318779,0.8142080222515006,0.8007034632034632
PosRemoval.SentenceEmbedding.BartTag,0.42,0.3264127298654153,0.5064845782237086,0.349251443001443
PosRemoval.SentenceEmbedding.SimpleNNClassifier,0.82,0.808545697348707,0.8165343915343914,0.8093073593073592
Stem.Tfidf.Xgboost,0.62,0.6136213133743207,0.6126352079293256,0.6169372294372294
Stem.Tfidf.LabelProp,0.22,0.07213114754098361,0.044,0.2
Stem.Tfidf.BartTag,0.41,0.31659544159544156,0.5809846431797652,0.33820346320346323
Stem.Tfidf.SimpleNNClassifier,0.83,0.8240551104162595,0.8302222222222222,0.8378787878787879
Stem.BagOfWords.Xgboost,0.68,0.6752861952861953,0.678149386845039,0.6790584415584415
Stem.BagOfWords.LabelProp,0.31,0.3038494623655914,0.3531290849673202,0.3058982683982684
Stem.BagOfWords.BartTag,0.41,0.31659544159544156,0.5809846431797652,0.33820346320346323
Stem.BagOfWords.SimpleNNClassifier,0.78,0.7834908451782994,0.7974952766531713,0.7910173160173161
Stem.FastText.Xgboost,0.44,0.4392957953933564,0.4698107416879795,0.44356060606060604
Stem.FastText.LabelProp,0.32,0.3142927025796484,0.3516148325358851,0.31866883116883116
Stem.FastText.BartTag,0.41,0.31659544159544156,0.5809846431797652,0.33820346320346323
Stem.FastText.SimpleNNClassifier,0.15,0.06629370629370629,0.07916666666666668,0.20909090909090908
Stem.SentenceEmbedding.Xgboost,0.74,0.7318147234807211,0.7390904547726137,0.7343073593073594
Stem.SentenceEmbedding.LabelProp,0.81,0.7981037542453262,0.8075589225589226,0.7983225108225109
Stem.SentenceEmbedding.BartTag,0.41,0.31659544159544156,0.5809846431797652,0.33820346320346323
Stem.SentenceEmbedding.SimpleNNClassifier,0.81,0.8023134571521668,0.8232976827094474,0.8017316017316016
StopwordRemove.Tfidf.Xgboost,0.64,0.6197126544952631,0.6800657894736842,0.6327922077922078
StopwordRemove.Tfidf.LabelProp,0.22,0.07213114754098361,0.044,0.2
StopwordRemove.Tfidf.BartTag,0.47,0.3523627244215479,0.5571338383838383,0.38365800865800864
StopwordRemove.Tfidf.SimpleNNClassifier,0.86,0.85135013138592,0.857836281365693,0.8550324675324674
StopwordRemove.BagOfWords.Xgboost,0.65,0.6366324535679374,0.6953208556149733,0.6393398268398267
StopwordRemove.BagOfWords.LabelProp,0.21,0.18728712464006583,0.20770114942528733,0.2056277056277056
StopwordRemove.BagOfWords.BartTag,0.47,0.3523627244215479,0.5571338383838383,0.38365800865800864
StopwordRemove.BagOfWords.SimpleNNClassifier,0.82,0.8119266615737203,0.8218414918414918,0.821969696969697
StopwordRemove.FastText.Xgboost,0.35,0.3488289698915885,0.4440829084204765,0.3580627705627705
StopwordRemove.FastText.LabelProp,0.24,0.13421957580373423,0.12841068917018283,0.22705627705627704
StopwordRemove.FastText.BartTag,0.47,0.3523627244215479,0.5571338383838383,0.38365800865800864
StopwordRemove.FastText.SimpleNNClassifier,0.14,0.04912280701754386,0.028000000000000004,0.2
StopwordRemove.SentenceEmbedding.Xgboost,0.7,0.6916339869281046,0.7031372549019608,0.6976731601731601
StopwordRemove.SentenceEmbedding.LabelProp,0.83,0.8213992633548898,0.8295169340463457,0.8243506493506494
StopwordRemove.SentenceEmbedding.BartTag,0.47,0.3523627244215479,0.5571338383838383,0.38365800865800864
StopwordRemove.SentenceEmbedding.SimpleNNClassifier,0.81,0.8047017371079855,0.8082051282051281,0.8058982683982684
TokenFilter.Tfidf.Xgboost,0.65,0.6284434406173537,0.691077694235589,0.6418831168831168
TokenFilter.Tfidf.LabelProp,0.22,0.07213114754098361,0.044,0.2
TokenFilter.Tfidf.BartTag,0.44,0.30859199280251914,0.44940476190476186,0.35574494949494956
TokenFilter.Tfidf.SimpleNNClassifier,0.88,0.8724248033841693,0.8761500903188884,0.8776515151515152
TokenFilter.BagOfWords.Xgboost,0.65,0.6366324535679374,0.6953208556149733,0.6393398268398267
TokenFilter.BagOfWords.LabelProp,0.22,0.19397268364710224,0.22093909658584057,0.20800865800865803
TokenFilter.BagOfWords.BartTag,0.44,0.30859199280251914,0.44940476190476186,0.35574494949494956
TokenFilter.BagOfWords.SimpleNNClassifier,0.84,0.8344948829971871,0.844520697167756,0.8401515151515152
TokenFilter.FastText.Xgboost,0.47,0.4220843731431967,0.4971717171717172,0.43896103896103894
TokenFilter.FastText.LabelProp,0.38,0.27574967061923583,0.44393939393939397,0.3496753246753247
TokenFilter.FastText.BartTag,0.44,0.30859199280251914,0.44940476190476186,0.35574494949494956
TokenFilter.FastText.SimpleNNClassifier,0.15,0.06519480519480518,0.07916666666666668,0.20833333333333334
TokenFilter.SentenceEmbedding.Xgboost,0.72,0.7145452329793376,0.7254291971661229,0.7133116883116883
TokenFilter.SentenceEmbedding.LabelProp,0.84,0.8307088122605364,0.8356684981684982,0.8341991341991342
TokenFilter.SentenceEmbedding.BartTag,0.44,0.30859199280251914,0.44940476190476186,0.35574494949494956
TokenFilter.SentenceEmbedding.SimpleNNClassifier,0.83,0.8191876706023887,0.8247552447552448,0.8191558441558442
None.Tfidf.Xgboost,0.62,0.6108007546378786,0.6188007644529383,0.6067099567099568
None.Tfidf.LabelProp,0.23,0.08872727272727274,0.24444444444444446,0.20833333333333334
None.Tfidf.BartTag,0.35,0.263417160475984,0.3514957264957265,0.28612012987012986
None.Tfidf.SimpleNNClassifier,0.85,0.8441269349845202,0.8556593406593406,0.8537878787878789
None.BagOfWords.Xgboost,0.65,0.641495235822928,0.649746951920865,0.6373917748917749
None.BagOfWords.LabelProp,0.33,0.31325767728206755,0.3395927601809955,0.3199134199134199
None.BagOfWords.BartTag,0.35,0.263417160475984,0.3514957264957265,0.28612012987012986
None.BagOfWords.SimpleNNClassifier,0.83,0.8260575912262865,0.8371428571428572,0.8386363636363636
None.FastText.Xgboost,0.48,0.46228384019081686,0.47683405345944047,0.4703463203463204
None.FastText.LabelProp,0.43,0.4124446981589839,0.4361307189542484,0.4237554112554112
None.FastText.BartTag,0.35,0.263417160475984,0.3514957264957265,0.28612012987012986
None.FastText.SimpleNNClassifier,0.14,0.04912280701754386,0.028000000000000004,0.2
None.SentenceEmbedding.Xgboost,0.76,0.7552540155215913,0.7640529100529101,0.7558982683982685
None.SentenceEmbedding.LabelProp,0.83,0.8132741288930003,0.8238091618526401,0.8149891774891774
None.SentenceEmbedding.BartTag,0.35,0.263417160475984,0.3514957264957265,0.28612012987012986
None.SentenceEmbedding.SimpleNNClassifier,0.81,0.8014764132951806,0.8057639385038765,0.8061688311688311
