method_chain,exact_match_ratio,f1_macro,jaccard,precision_macro,recall_macro
Lemmatize.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Lemmatize.Tfidf.ThresholdSim,0.24,0.36633333333333334,0.335,0.395,0.36999999999999994
Lemmatize.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Lemmatize.Tfidf.BartTagLabeler,0.21,0.24166666666666672,0.2333333333333333,0.26,0.2333333333333333
Lemmatize.BagOfWords.MultiLogistic,0.01,0.01,0.01,0.01,0.01
Lemmatize.BagOfWords.SimpleNNLabeler,0.03,0.03,0.03,0.03,0.03
Lemmatize.BagOfWords.BartTagLabeler,0.21,0.24166666666666672,0.2333333333333333,0.26,0.2333333333333333
Lemmatize.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Lemmatize.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
Lemmatize.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Lemmatize.FastText.BartTagLabeler,0.21,0.24166666666666672,0.2333333333333333,0.26,0.2333333333333333
Lemmatize.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Lemmatize.SentenceEmbedding.ThresholdSim,0.26,0.44533333333333325,0.39166666666666666,0.4373333333333334,0.5099999999999999
Lemmatize.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Lemmatize.SentenceEmbedding.BartTagLabeler,0.21,0.24166666666666672,0.2333333333333333,0.26,0.2333333333333333
PosRemoval.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
PosRemoval.Tfidf.ThresholdSim,0.27,0.3946666666666666,0.3633333333333333,0.4233333333333333,0.3999999999999999
PosRemoval.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
PosRemoval.Tfidf.BartTagLabeler,0.18,0.21333333333333332,0.205,0.23,0.205
PosRemoval.BagOfWords.MultiLogistic,0.0,0.006666666666666666,0.005,0.01,0.005
PosRemoval.BagOfWords.SimpleNNLabeler,0.01,0.02333333333333333,0.02,0.03,0.02
PosRemoval.BagOfWords.BartTagLabeler,0.18,0.21333333333333332,0.205,0.23,0.205
PosRemoval.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
PosRemoval.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
PosRemoval.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
PosRemoval.FastText.BartTagLabeler,0.18,0.21333333333333332,0.205,0.23,0.205
PosRemoval.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
PosRemoval.SentenceEmbedding.ThresholdSim,0.21,0.4229999999999999,0.36416666666666664,0.429,0.48166666666666663
PosRemoval.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
PosRemoval.SentenceEmbedding.BartTagLabeler,0.18,0.21333333333333332,0.205,0.23,0.205
Stem.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Stem.Tfidf.ThresholdSim,0.16,0.2433333333333334,0.22166666666666668,0.27,0.24166666666666667
Stem.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Stem.Tfidf.BartTagLabeler,0.13,0.1433333333333333,0.14,0.15,0.14
Stem.BagOfWords.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Stem.BagOfWords.SimpleNNLabeler,0.0,0.011666666666666665,0.008333333333333333,0.02,0.008333333333333333
Stem.BagOfWords.BartTagLabeler,0.13,0.1433333333333333,0.14,0.15,0.14
Stem.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Stem.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
Stem.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Stem.FastText.BartTagLabeler,0.13,0.1433333333333333,0.14,0.15,0.14
Stem.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
Stem.SentenceEmbedding.ThresholdSim,0.15,0.29485714285714293,0.2545,0.2925,0.335
Stem.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
Stem.SentenceEmbedding.BartTagLabeler,0.13,0.1433333333333333,0.14,0.15,0.14
StopwordRemove.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
StopwordRemove.Tfidf.ThresholdSim,0.27,0.418,0.37999999999999995,0.43333333333333335,0.43999999999999995
StopwordRemove.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
StopwordRemove.Tfidf.BartTagLabeler,0.27,0.295,0.28833333333333333,0.31,0.28833333333333333
StopwordRemove.BagOfWords.MultiLogistic,0.05,0.08166666666666668,0.07333333333333333,0.1,0.07333333333333333
StopwordRemove.BagOfWords.SimpleNNLabeler,0.27,0.38799999999999996,0.35833333333333334,0.44,0.36833333333333335
StopwordRemove.BagOfWords.BartTagLabeler,0.27,0.295,0.28833333333333333,0.31,0.28833333333333333
StopwordRemove.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
StopwordRemove.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
StopwordRemove.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
StopwordRemove.FastText.BartTagLabeler,0.27,0.295,0.28833333333333333,0.31,0.28833333333333333
StopwordRemove.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
StopwordRemove.SentenceEmbedding.ThresholdSim,0.2,0.39233333333333326,0.33866666666666667,0.38733333333333336,0.4566666666666667
StopwordRemove.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
StopwordRemove.SentenceEmbedding.BartTagLabeler,0.27,0.295,0.28833333333333333,0.31,0.28833333333333333
TokenFilter.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
TokenFilter.Tfidf.ThresholdSim,0.28,0.428,0.39,0.44333333333333336,0.44999999999999996
TokenFilter.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
TokenFilter.Tfidf.BartTagLabeler,0.32,0.34333333333333327,0.33666666666666667,0.36,0.33666666666666667
TokenFilter.BagOfWords.MultiLogistic,0.06,0.08666666666666668,0.08,0.1,0.08
TokenFilter.BagOfWords.SimpleNNLabeler,0.17,0.2366666666666667,0.21833333333333332,0.28,0.21833333333333332
TokenFilter.BagOfWords.BartTagLabeler,0.32,0.34333333333333327,0.33666666666666667,0.36,0.33666666666666667
TokenFilter.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
TokenFilter.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
TokenFilter.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
TokenFilter.FastText.BartTagLabeler,0.32,0.34333333333333327,0.33666666666666667,0.36,0.33666666666666667
TokenFilter.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
TokenFilter.SentenceEmbedding.ThresholdSim,0.24,0.4365714285714284,0.38199999999999995,0.43399999999999994,0.5
TokenFilter.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
TokenFilter.SentenceEmbedding.BartTagLabeler,0.32,0.34333333333333327,0.33666666666666667,0.36,0.33666666666666667
None.Tfidf.MultiLogistic,0.0,0.0,0.0,0.0,0.0
None.Tfidf.ThresholdSim,0.27,0.3946666666666666,0.3633333333333333,0.4233333333333333,0.3999999999999999
None.Tfidf.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
None.Tfidf.BartTagLabeler,0.23,0.25000000000000006,0.245,0.26,0.245
None.BagOfWords.MultiLogistic,0.0,0.006666666666666666,0.005,0.01,0.005
None.BagOfWords.SimpleNNLabeler,0.0,0.006666666666666666,0.005,0.01,0.005
None.BagOfWords.BartTagLabeler,0.23,0.25000000000000006,0.245,0.26,0.245
None.FastText.MultiLogistic,0.0,0.0,0.0,0.0,0.0
None.FastText.ThresholdSim,0.0,0.2375555555555552,0.1397222222222222,0.14125,0.8516666666666666
None.FastText.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
None.FastText.BartTagLabeler,0.23,0.25000000000000006,0.245,0.26,0.245
None.SentenceEmbedding.MultiLogistic,0.0,0.0,0.0,0.0,0.0
None.SentenceEmbedding.ThresholdSim,0.26,0.45933333333333315,0.40416666666666656,0.44500000000000006,0.5316666666666666
None.SentenceEmbedding.SimpleNNLabeler,0.0,0.0,0.0,0.0,0.0
None.SentenceEmbedding.BartTagLabeler,0.23,0.25000000000000006,0.245,0.26,0.245
